ticker,flag_date,signal_value,max_drawdown_30d,outcome
SPY,2001-10-03,0.3285,-0.0144,false_alarm
SPY,2002-07-10,0.3015,-0.1321,hit
SPY,2002-07-11,0.3026,-0.1391,hit
SPY,2002-07-12,0.3028,-0.1296,hit
SPY,2002-07-15,0.3048,-0.1342,hit
SPY,2002-07-16,0.2859,-0.1172,hit
SPY,2002-07-18,0.2915,-0.0894,hit
SPY,2002-07-19,0.3079,-0.0562,hit
SPY,2002-07-22,0.3163,-0.0274,false_alarm
SPY,2002-07-23,0.3177,0.0478,false_alarm
SPY,2002-07-24,0.3976,-0.0112,false_alarm
SPY,2002-07-25,0.3963,-0.0027,false_alarm
SPY,2002-07-26,0.3976,-0.0214,false_alarm
SPY,2002-07-29,0.4431,-0.0668,hit
SPY,2002-07-30,0.4438,-0.0788,hit
SPY,2002-07-31,0.4388,-0.0811,hit
SPY,2002-08-01,0.4461,-0.0564,hit
SPY,2002-08-02,0.4209,-0.0348,false_alarm
SPY,2002-08-05,0.4327,0.0337,false_alarm
SPY,2002-08-06,0.4507,0.0042,false_alarm
SPY,2002-08-07,0.4405,-0.0386,false_alarm
SPY,2002-08-08,0.4557,-0.0687,hit
SPY,2002-08-09,0.4544,-0.0795,hit
SPY,2002-08-12,0.4545,-0.0876,hit
SPY,2002-08-13,0.454,-0.0707,hit
SPY,2002-08-14,0.4724,-0.1035,hit
SPY,2002-08-15,0.457,-0.1157,hit
SPY,2002-08-16,0.4341,-0.1187,hit
SPY,2002-08-19,0.4182,-0.1388,hit
SPY,2002-08-20,0.4033,-0.1296,hit
SPY,2002-08-21,0.3594,-0.142,hit
SPY,2002-08-22,0.3553,-0.1605,hit
SPY,2002-08-23,0.3664,-0.1598,hit
SPY,2002-08-26,0.3305,-0.1656,hit
SPY,2002-08-27,0.3321,-0.1668,hit
SPY,2002-08-28,0.3427,-0.1482,hit
SPY,2002-08-29,0.3276,-0.1486,hit
SPY,2002-08-30,0.3155,-0.1452,hit
SPY,2002-09-03,0.3213,-0.1113,hit
SPY,2002-10-02,0.3182,-0.0607,hit
SPY,2002-10-03,0.3186,-0.0511,hit
SPY,2002-10-04,0.316,-0.0334,false_alarm
SPY,2002-10-07,0.3171,-0.013,false_alarm
SPY,2002-10-08,0.3206,-0.0282,false_alarm
SPY,2002-10-09,0.3302,0.0324,false_alarm
